word1,word2,label
fonsi,bougie,1
typeof,belove,1
marginoplasty,taxidea,1
fsi,bee,1
rebhuhn,wonne,1
plasmablast,gundog,0
gnupg,ginnee,1
hepcat,borat,1
cyanite,carpolite,1
pteridospermae,brast,0
columbite,byte,1
llgen,empat,0
blowgun,hydrocodone,1
sitfast,diecast,1
cytoblast,crashed,1
smodcast,forncast,1
pansporoblast,eremite,0
sandblast,outgassed,1
buckbee,floormat,0
unlove,kihyun,0
shmatte,monsarrat,1
whereof,dataglove,1
thwite,juniperite,1
trave,yun,0
hereof,sizeof,1
finespun,nuhn,1
ultrafast,hereinabove,0
ichat,gunsight,0
sizeof,questlove,1
simeone,thron,1
overpassed,colloblast,1
mussite,banalite,1
hnpcc,flowbee,1
dixiecrat,njrat,1
manlove,quqon,0
psychologue,changelog,1
weblog,toadfrog,1
mesoblast,autoplast,1
metrocyte,platte,0
ducat,motat,1
spurdog,socog,1
minorat,gov,0
changelog,glove,0
stun,phren,1
coelostat,sat,1
triune,fengyun,1
grouplove,intercombat,0
son,assat,0
spurdog,onlyoneof,0
panipat,jedi,0
lsd,subhashri,1
anorthite,janeite,1
angiospermae,eyetv,1
chromecast,bruhn,0
alphonsea,shttp,1
malashri,petree,1
offcast,underdone,0
thereof,above,1
chromoblast,catdog,0
freelove,berehove,1
trave,vanhove,1
fogg,freakdog,1
hatte,fittrat,1
flea,zikurat,0
fun,thinolite,0
inmarsat,hydrostat,1
lieberkuhn,sheeprun,1
nun,phren,1
prelog,grapholite,0
matte,diplomat,1
lushun,plzen,1
btree,rosalee,1
defog,milblog,1
kenalog,yougov,0
erven,bklyn,1
hereinabove,of,1
bankrupcy,ncpdp,1
eizenstat,ooblast,0
stun,taconite,0
gov,bhatt,0
haemagogue,trave,0
glove,kidnapee,0
cryophyte,semseyite,1
sitfast,chea,0
symplast,hyalite,0
amove,smuin,0
cyberglove,grouplove,1
pamunkey,boottree,1
nast,godlove,0
nitrostat,freelove,0
smog,slog,1
ashlee,sadat,0
grassed,etioplast,1
footglove,godlove,1
musubi,tse,1
mirti,ji,1
malacolite,frozenbyte,1
homerun,ecdysiast,0
baekhyun,idiosyncrasy,0
mat,westerplatte,1
sunrun,grassed,0
berehove,kurzgesagt,0
grouplove,vanhove,1
sizeof,gov,1
spendlove,onlyoneof,1
cragfast,gun,0
forceone,phlog,0
everlast,hesychast,1
cabree,bridgetree,1
thron,lapdog,0
forstat,zblan,0
hogge,jrgen,0
barkey,manistee,1
deneuve,belove,1
eremite,mcright,1
tittlebat,parablast,0
popat,treefrog,0
thran,socog,0
doseone,ficttelite,0
masterformat,satte,1
eilat,megatonne,0
despotat,megaloblast,0
thrun,chthon,1
onlyoneof,bashed,0
unglove,androstenone,0
sinologue,mitoplast,0
shatt,gat,1
jambee,muesli,1
microblast,foremast,1
pedagogue,phlegmagogue,1
pensee,sublicensee,1
gymnaste,esthete,0
archite,diosmectite,1
auxocyte,moissanite,1
dunn,greenspun,1
quqon,potgun,1
mythtv,trutv,1
phanerite,icosahedrite,1
soli,ardee,1
izanami,blowgun,0
corroboree,xdmcp,1
haemagogue,ethnologue,1
redhat,superflat,1
centroblast,gonimoblast,1
wirecast,bedfast,1
atwite,mitie,0
sizelove,glove,1
photoblog,cosag,1
biernat,cobicistat,1
sopite,recov,0
lstat,webcast,0
bankomat,expat,1
hereof,stive,1
spun,guisewite,0
hemicryptophyte,blindsight,1
nefast,trashed,1
franckeite,bismuthite,1
chickadee,shri,1
minorat,filderstadt,1
past,hereinabove,0
bunn,mitoplast,0
freelove,semarnat,0
copenhague,footglove,0
theocrat,dlive,0
redone,valenti,0
coachdog,oversee,0
vierwaldstattersee,requite,0
onlyoneof,vogesite,0
truelove,aminoplast,0
satte,deneuve,0
splenocyte,tubiporite,1
pettifog,thuggee,0
moorhuhn,begun,1
gyrostat,stochastically,0
spendlove,thereof,1
quahog,condog,1
dove,sizelove,1
fubotv,tinkey,1
bufonite,vanhove,0
stacktv,dunklee,1
irsgov,chernigov,1
rntgen,wonne,1
magyarorszag,labov,0
handfast,gonoblast,1
prolog,rudraprayag,1
assemblea,pea,1
drawee,parasite,0
menulog,videoblog,1
arendsee,inite,0
wwwirsgov,vanhove,1
commissariat,defat,1
dlive,freelove,1
chernabog,hydrocast,0
cheatee,dyscrasy,1
freelove,assemblea,0
questlove,finespun,0
monstermmorpg,scree,1
starlog,noonshun,0
mercast,ptysmagogue,0
cablecast,astroblast,1
pirog,sheepdog,1
shove,antispast,0
demagogue,kea,0
underrun,none,1
godlove,woodchat,0
aerographite,adigrat,0
breastheight,ladylove,0
phosphite,questlove,0
kinetoplast,plasmablast,1
aslan,jun,1
xtian,wolog,0
zebedee,actuality,1
unglove,yougov,1
ringdove,spendlove,1
autograft,verhofstadt,0
semilog,ringdove,0
misrun,offlinetv,0
armikrog,frogge,1
semilog,grammalogue,1
optat,pog,0
flashlight,antepast,0
bayldonite,bourgeoisie,0
phlebolite,pyedog,0
zblan,gruhn,1
democrat,shove,0
indri,zichri,1
acog,pronormoblast,0
fengyun,axinite,0
augusti,abelite,0
amcast,granuloblast,1
alveoloplasty,youn,0
synagoge,scatoscopy,0
thrast,treckschuyt,0
lague,chemofog,1
kgb,polyelectrolyte,0
navsat,abelite,0
rosenblatt,irsgov,0
instat,semiparasite,0
socat,redone,0
plasmablast,spun,0
marrowfat,scrog,0
mudcat,cluebat,1
donne,whereof,0
heirat,rheocrat,1
epilog,megaton,0
porsgrunn,smuin,1
fashiontv,bykea,1
smashcast,zunyite,0
tipcat,diktat,1
tonne,hun,1
reichskonkordat,kattegat,1
ladylove,dove,1
hamsun,jrgen,1
filigree,aristole,1
glycerite,calamite,1
magnesite,salpingoscopy,0
sassed,clinostat,0
shion,gudrun,1
chloroplast,chicoree,0
cuecat,dieudonne,0
romanechite,botryolite,1
argillite,eiszeit,1
svarog,typeof,0
solesbee,chimpui,1
catolyte,myxocyte,1
climat,badayun,0
ratte,unimat,1
onlyoneof,microformat,0
outgun,hog,0
stripchat,jehosaphat,1
glove,dataglove,1
shtrafbat,typeof,0
sizelove,chickaree,0
sitfast,asked,1
unsight,allottee,0
caradog,blogg,1
woodfrog,donne,0
voltaplast,berehove,0
markee,microbee,1
negaton,nun,1
icefrog,zappatite,0
bhatt,labatt,1
longspun,lymphagogue,0
tinkey,henslee,1
sialagogue,drcog,1
brunn,hikmat,0
malayalee,retree,1
homologue,mccree,0
tebibyte,allgemeinheit,1
newscast,andermatt,0
bacteriostat,katt,1
iccat,instat,1
log,above,0
odontolite,reunite,1
inductee,madhushree,1
kompromat,amove,0
tetaug,unicast,0
periplast,ameloblast,1
trothplight,godlove,0
ouvarovite,cuecat,0
endopleurite,leukoplast,0
colourcast,miscast,1
clarostat,cyberglove,0
cheiroplasty,kihyun,0
harlemite,fomite,1
poynton,yi,0
barog,freelove,0
dixiecrat,perovskite,0
cragfast,blepharoplast,1
androstenone,thyone,1
sattelite,nipun,0
tetaug,batte,0
travelog,batibat,0
thrun,rvssian,1
empat,vat,1
byun,ladylove,0
groundhog,travelogue,1
californite,hardspun,0
galactagogue,parlog,1
semimatte,mabalacat,1
spemann,begun,1
explat,kight,0
slog,huhn,0
wolfdog,questlove,0
berehove,holoblast,0
hydrocodone,damast,0
ne,pogge,0
labov,spurdog,0
dermatoscopy,naumannite,0
xtian,cryophyte,0
clast,otoscopy,0
opencast,raste,1
iecee,monolog,0
dipanjan,dismast,0
whereof,typeof,1
shuhite,nikkormat,0
doseone,freelove,0
eap,speedrun,0
typeof,lighttpd,0
key,albee,1
spemann,thron,1
mentat,abematv,0
freelove,flite,0
chromat,lunn,0
orthostat,manlove,0
bandobast,spermatoblast,1
