word1,word2,label
cangiano,zumpano,1
suspends,arends,1
sramek,hypothalamic,1
baily,kaley,1
tashkent,segment,1
katrina,tomasina,1
kyo,rideau,1
woll,adoptee,0
fenger,mastin,0
coordination,adaptation,1
damnation,alteration,1
stipulations,calculations,1
preciado,flyway,0
asbill,yeagle,0
shirone,fidel,0
brannick,organic,1
cep,kleppe,1
sunpoint,knutzen,0
carlino,maiorino,1
fullbright,rimkus,0
cabello,othello,1
carducci,crewel,0
degraff,paperwork,0
prance,dangling,0
zaugg,exiled,0
arocha,oka,1
jakubik,circumventing,0
reputation,operation,1
tokio,neo,1
dodaro,concerns',0
peto,ardito,1
mumma,thumma,1
jobs,profess,0
boening,caseworkers,0
poliquin,lamine,1
barely,kumho,0
takeshita,pepita,1
power's,overpowers,1
komatsu,newbury's,0
gwynn,boleyn,1
misidentification,administration,1
fell,cottrell,1
ackerson,laun,0
michaud,gendreau,1
pocks,xanthe,0
upsets,fretz,1
unfriendly,tenny,0
dossey,stasi,1
adding,sextus,0
crepe,kinney,0
hover,cover,1
curtly,concedes,0
subluxation,authorization,1
sumitomo,daddona,0
carmel,martelle,1
grower,deportee,0
sales,yale's,1
agitation,probation,1
goos,news,1
tevye,tuzla's,0
swart,mort,1
southam,masochistic,0
allee,si,1
clyne,caffey,0
porto,gecko,0
rusk,kann,0
outweighed,upgrade,1
divestiture,shughart,0
overman,preventative,0
escorted,ajax,0
arianna's,pablum,0
analogy,narlikar,0
shone,shirleen,0
miscreation,correlation,1
speculation,aberration,1
xing,wing,1
winans,outsmart,0
palmdale,t.,0
technicals,hussein's,0
scarano,alfano,1
rebounding,resounding,1
bean,screenwriting,0
lymphatic,aon,0
amadon,hargadon,1
ross',boss,1
levy's,pignataro,0
throughs,gari,0
gordian,bingaman,0
souveroff,despondent,0
heitmeyer,supergiant,0
noguera,provera,1
postdate,est,1
myrlene,lein,1
meteorology,hilyard,0
zona,friona,1
william,kettle,0
thence,saves,0
garvie,mellick,0
staley's,jani,0
hobday,meteorologists,0
delhaize,sassy's,0
revisions,goodenow,0
infests,fess,1
corporations,crustaceans,1
simkin,adverbial,0
carboni,dantoni,1
mistook,impossibility,0
weed,diede,1
undo,chengdu,1
bal,al,1
lacount,xiang,0
kingery,disorganize,0
anbari,gaspari,1
ohland,levens,0
senegalese,degrees,1
microx,i'm,0
dissociation,subsidization,1
bucoba,disembarkation,0
maize,faye's,1
biking,ejup,0
misrecognizing,cristiano,0
duquesne's,cigars,0
seriously,crowther,0
wease,agrees,1
lionetti,giannetti,1
saxton,thaxton,1
untied,collide,1
carnivorous,carolinas,0
merchants',mortally,0
hosack,zycad,0
whitsel,whitsell,1
verification,tabulation,1
misinformation,personification,1
o'malley,komodo,0
reclamation,vacation,1
atmospheric,antiseptic,0
identification,taxation,1
dorries,lorries,1
cassino,sciarrino,1
yusef's,fruits,0
labs,sin,0
windmere's,crosscurrent,0
bobe,giebler,0
hopscotched,luera,0
scopolamine,brains,0
